time,Bx,By,Bz,Btotal
2021-07-01 12:6:48.7220,35.48,23.56,-734.81,736.04
2021-07-01 12:6:48.8210,35.5,23.76,-734.86,736.1
2021-07-01 12:6:48.9210,35.41,23.64,-734.88,736.12
2021-07-01 12:6:49.0190,35.68,23.49,-734.83,736.07
2021-07-01 12:6:49.1190,35.5,23.63,-734.97,736.21
2021-07-01 12:6:49.2190,35.63,23.67,-734.87,736.11
2021-07-01 12:6:49.3190,35.53,23.6,-734.98,736.21
2021-07-01 12:6:49.4180,35.43,23.6,-734.96,736.19
2021-07-01 12:6:49.5200,35.36,23.8,-734.99,736.23
2021-07-01 12:6:49.6180,35.48,23.75,-735.0,736.24
2021-07-01 12:6:49.7170,35.52,23.66,-734.87,736.11
2021-07-01 12:6:49.8160,34.75,23.41,-735.19,736.38
2021-07-01 12:6:49.9150,34.21,23.0,-735.27,736.43
2021-07-01 12:6:50.0160,34.06,23.14,-735.22,736.37
2021-07-01 12:6:50.1160,34.02,23.16,-735.41,736.56
2021-07-01 12:6:50.2160,33.98,23.3,-735.67,736.83
2021-07-01 12:6:50.3160,33.48,23.11,-739.26,740.38
2021-07-01 12:6:50.4160,36.02,22.74,-747.16,748.38
2021-07-01 12:6:50.5150,37.46,22.24,-754.56,755.82
2021-07-01 12:6:50.6130,38.59,20.96,-752.93,754.21
2021-07-01 12:6:50.7120,38.78,18.32,-737.97,739.21
2021-07-01 12:6:50.8140,38.37,14.13,-710.62,711.79
2021-07-01 12:6:50.9110,36.02,8.14,-659.08,660.11
2021-07-01 12:6:51.0120,31.85,1.18,-595.79,596.64
2021-07-01 12:6:51.1110,27.17,-4.95,-529.57,530.29
2021-07-01 12:6:51.2120,23.56,-9.87,-473.39,474.08
2021-07-01 12:6:51.3090,19.05,-14.13,-409.22,409.91
2021-07-01 12:6:51.4080,13.99,-18.18,-334.62,335.41
2021-07-01 12:6:51.5110,11.2,-20.12,-288.7,289.61
2021-07-01 12:6:51.6100,8.94,-21.71,-253.89,254.97
2021-07-01 12:6:51.7100,7.49,-22.44,-231.08,232.29
2021-07-01 12:6:51.8090,6.58,-23.29,-212.83,214.2
2021-07-01 12:6:51.9080,5.72,-23.75,-197.33,198.84
2021-07-01 12:6:52.0090,4.82,-24.17,-179.75,181.43
2021-07-01 12:6:52.1060,3.88,-24.64,-159.71,161.64
2021-07-01 12:6:52.2040,3.27,-24.81,-147.36,149.47
2021-07-01 12:6:52.3050,2.85,-25.04,-138.85,141.11
2021-07-01 12:6:52.4030,2.56,-25.3,-131.07,133.52
2021-07-01 12:6:52.5050,2.35,-25.25,-125.6,128.13
2021-07-01 12:6:52.6040,1.98,-25.27,-122.11,124.72
2021-07-01 12:6:52.7050,1.76,-25.39,-117.46,120.18
2021-07-01 12:6:52.8030,1.72,-25.46,-113.07,115.92
2021-07-01 12:6:52.9050,1.75,-25.41,-109.42,112.35
2021-07-01 12:6:53.0040,1.67,-25.64,-106.82,109.87
2021-07-01 12:6:53.1040,1.92,-25.7,-102.24,105.44
2021-07-01 12:6:53.2020,1.62,-25.73,-97.66,101.01
2021-07-01 12:6:53.3020,1.49,-25.76,-96.1,99.51
2021-07-01 12:6:53.3990,1.3,-25.74,-95.9,99.3
2021-07-01 12:6:53.5000,1.25,-25.85,-95.68,99.11
2021-07-01 12:6:53.6000,1.07,-25.96,-94.87,98.36
2021-07-01 12:6:53.7000,0.95,-25.85,-93.09,96.62
2021-07-01 12:6:53.7990,1.12,-25.94,-90.79,94.43
2021-07-01 12:6:53.9000,1.08,-25.77,-89.17,92.83
2021-07-01 12:6:53.9980,0.87,-25.94,-87.88,91.63
2021-07-01 12:6:54.0990,0.86,-25.95,-87.3,91.08
2021-07-01 12:6:54.1960,0.83,-25.8,-86.63,90.4
2021-07-01 12:6:54.2970,0.68,-25.88,-85.45,89.28
2021-07-01 12:6:54.3980,0.81,-25.87,-85.12,88.97
2021-07-01 12:6:54.4960,0.81,-26.02,-84.96,88.86
2021-07-01 12:6:54.5950,0.83,-25.74,-85.12,88.93
2021-07-01 12:6:54.6980,0.56,-26.15,-85.1,89.03
2021-07-01 12:6:54.7930,0.67,-26.18,-85.1,89.04
2021-07-01 12:6:54.8940,0.78,-26.04,-85.05,88.95
2021-07-01 12:6:54.9930,0.78,-26.08,-84.84,88.76
2021-07-01 12:6:55.0960,1.28,-25.99,-84.91,88.81
